연도,분기,분기별_연도,지역,전입자수,전출자수
2017,6,201706,전북특별자치도,16964.0,17650.0
2017,6,201706,제주특별자치도,7041.0,6197.0
2017,6,201706,충청남도,21108.0,19354.0
2017,6,201706,충청북도,15333.0,15310.0
2017,7,201707,강원특별자치도,14486.0,14791.0
2017,7,201707,경기도,141537.0,133528.0
2017,7,201707,경상남도,32708.0,31780.0
2017,7,201707,경상북도,24410.0,25062.0
2017,7,201707,광주광역시,15040.0,15356.0
2017,7,201707,대구광역시,23072.0,23807.0
2017,7,201707,대전광역시,15462.0,16382.0
2017,7,201707,부산광역시,35266.0,37237.0
2017,7,201707,서울특별시,113098.0,121341.0
2017,7,201707,세종특별자치시,6492.0,3679.0
2017,7,201707,울산광역시,9807.0,10770.0
2017,7,201707,인천광역시,34014.0,33887.0
2017,7,201707,전국,543286.0,543286.0
2017,7,201707,전라남도,16888.0,17077.0
2017,7,201707,전북특별자치도,17423.0,18172.0
2017,7,201707,제주특별자치도,7418.0,5845.0
2017,7,201707,충청남도,21017.0,19512.0
2017,7,201707,충청북도,15148.0,15060.0
2017,8,201708,강원특별자치도,15950.0,15788.0
2017,8,201708,경기도,169095.0,158331.0
2017,8,201708,경상남도,34778.0,35344.0
2017,8,201708,경상북도,28946.0,29092.0
2017,8,201708,광주광역시,18683.0,18658.0
2017,8,201708,대구광역시,27528.0,29406.0
2017,8,201708,대전광역시,17413.0,18333.0
2017,8,201708,부산광역시,40356.0,41103.0
2017,8,201708,서울특별시,132940.0,141931.0
2017,8,201708,세종특별자치시,7536.0,4711.0
2017,8,201708,울산광역시,10444.0,11930.0
2017,8,201708,인천광역시,36757.0,37274.0
2017,8,201708,전국,628151.0,628151.0
2017,8,201708,전라남도,17648.0,18938.0
2017,8,201708,전북특별자치도,18559.0,19370.0
2017,8,201708,제주특별자치도,8199.0,6646.0
2017,8,201708,충청남도,26580.0,24570.0
2017,8,201708,충청북도,16739.0,16726.0
2017,9,201709,강원특별자치도,15381.0,14980.0
2017,9,201709,경기도,172577.0,158654.0
